Team,PA,BB%,K%,BB/K,SB,OBP,SLG,OPS,ISO,Spd,BABIP,wRC,wRAA,wOBA,wRC+
COL,6064,9.20%,22.30%,0.41,0,0.342,0.479,0.821,0.207,1.4,0.32,870,136.8,0.347,100
HOU,7400,9.70%,19.30%,0.5,0,0.345,0.465,0.81,0.196,0.9,0.303,1066,172.1,0.345,120
ARI,6680,8.50%,20.80%,0.41,0,0.337,0.477,0.814,0.207,1.6,0.309,948,139.9,0.343,110
NYY,6797,10.30%,22.50%,0.46,0,0.339,0.465,0.804,0.204,0.6,0.3,965,142.1,0.342,116
WSN,5789,8.80%,20.80%,0.42,0,0.345,0.459,0.804,0.184,1.1,0.321,818,116.5,0.342,110
BOS,6171,9.80%,19.40%,0.5,0,0.343,0.462,0.804,0.191,0.9,0.305,873,124.3,0.342,110
MIN,6567,9.00%,22.20%,0.41,0,0.334,0.459,0.794,0.196,1.1,0.306,904,109.3,0.337,112
CHC,5813,10.20%,23.80%,0.43,0,0.343,0.446,0.79,0.186,1.1,0.317,791,88.9,0.337,108
CLE,7936,9.80%,19.30%,0.51,0,0.341,0.442,0.782,0.178,0.9,0.3,1078,116.6,0.336,108
CHW,7209,7.10%,23.40%,0.3,0,0.334,0.45,0.784,0.173,1.4,0.339,977,102.4,0.335,111
STL,5967,9.20%,21.50%,0.43,0,0.329,0.451,0.78,0.196,1.1,0.292,791,70.4,0.333,108
DET,7312,7.90%,21.80%,0.36,0,0.333,0.445,0.777,0.173,1.4,0.324,974,90.7,0.332,108
TBR,6363,9.70%,23.90%,0.41,0,0.335,0.436,0.771,0.178,1.1,0.311,835,63.9,0.33,111
SEA,5869,9.80%,23.50%,0.41,0,0.329,0.433,0.762,0.183,0.9,0.296,755,46.3,0.327,109
SDP,6342,9.40%,23.60%,0.4,0,0.327,0.439,0.766,0.186,0.9,0.301,811,44.4,0.327,105
MIL,6173,10.20%,23.40%,0.44,0,0.332,0.43,0.762,0.179,0.9,0.302,787,40.6,0.327,100
ATL,5310,8.90%,22.80%,0.39,0,0.328,0.438,0.766,0.182,1.1,0.304,670,27.8,0.325,99
TOR,7393,8.60%,21.10%,0.41,0,0.32,0.438,0.758,0.185,0.6,0.288,937,42.6,0.325,103
NYM,5599,8.90%,22.10%,0.4,0,0.328,0.432,0.76,0.175,0.9,0.303,707,28.9,0.324,105
LAD,6681,10.50%,22.00%,0.48,0,0.329,0.427,0.756,0.182,0.9,0.286,835,29.2,0.324,103
OAK,7508,8.70%,21.50%,0.4,0,0.321,0.428,0.749,0.178,0.9,0.29,931,22.3,0.321,105
KCR,6271,7.10%,20.90%,0.34,0,0.316,0.425,0.741,0.165,1.1,0.305,752,-7.1,0.317,96
PHI,6753,9.70%,21.40%,0.45,0,0.325,0.407,0.732,0.16,0.9,0.292,797,-21.3,0.315,93
BAL,8057,6.70%,22.20%,0.3,0,0.311,0.422,0.732,0.165,0.9,0.303,947,-28.9,0.313,94
CIN,5885,8.40%,22.50%,0.37,0,0.315,0.411,0.727,0.165,1.1,0.292,680,-31.7,0.312,88
SFG,6554,8.10%,20.90%,0.38,0,0.317,0.413,0.73,0.157,0.6,0.299,755,-36.5,0.312,94
TEX,5828,7.40%,21.50%,0.34,0,0.315,0.41,0.726,0.155,1.1,0.304,676,-30.8,0.311,89
PIT,6168,8.30%,20.80%,0.4,0,0.32,0.403,0.723,0.151,1.1,0.299,708,-39.6,0.311,92
LAA,7085,8.90%,18.20%,0.49,0,0.318,0.396,0.714,0.15,0.9,0.278,806,-51.6,0.309,93
MIA,5953,7.90%,22.50%,0.35,0,0.315,0.396,0.711,0.146,0.9,0.303,660,-62.6,0.306,92